brand,scientific,category,form,prompt
Bisolvon,Bromhexine,Mucolytic,Tablet / Syrup,"Pharmaceutical box of bromhexine mucolytic expectorant tablets and syrup bottle, white and yellow packaging, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Be Active,Wheat Germ Oil,Antioxidant,Capsule,"Bottle of wheat germ oil antioxidant supplement capsules, yellow and white label, professional supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Buscopan,Hyoscine (Scopolamine),Antispasmodic,Tablet,"Pharmaceutical box of hyoscine antispasmodic tablets, white and orange packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Buscopan Compositu,Hyoscine + Dipyrone,Antispasmodic / Analgesic,Tablet,"Box of hyoscine and dipyrone antispasmodic pain relief tablets, white and red pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Buscopan Plus,Hyoscine + Paracetamol,Antispasmodic / Analgesic,Tablet,"Pharmaceutical box of hyoscine and paracetamol antispasmodic tablets, white and blue packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Betacor,Sotalol,Antihypertensive / Antiarrhythmic,Tablet,"Box of sotalol beta-blocker antiarrhythmic tablets, white and blue pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Bronch-vaxom,Bacterial Lysate,Immunity Enhancer,Capsule,"Pharmaceutical box of bacterial lysate immune booster capsules, white and purple packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Bee Tonic,Royal Jelly + Bee Pollen + Bee Propolis,Supplement,Capsule,"Bottle of royal jelly, bee pollen, and bee propolis supplement capsules, gold and yellow label, natural supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Bran,Bran (Wheat Bran),Weight Loss / Fiber,Granules,"Bag of wheat bran fiber supplement granules, brown and white packaging, natural product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Bistol / Bisocard / Concor / Egypro,Bisoprolol,Antihypertensive,Tablet,"Assortment of bisoprolol beta-blocker tablets boxes, white and blue pharmaceutical packaging, blister packs, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Burinex,Bumetanide,Diuretic,Tablet,"Pharmaceutical box of bumetanide loop diuretic tablets, white and orange packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Brufen / Profusol / Marcofen,Ibuprofen,Analgesic / Anti-inflammatory,Tablet,"Boxes of ibuprofen pain relief tablets, white and orange pharmaceutical packaging, blister packs, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Brufen Cold,Ibuprofen + Pseudoephedrine,Common Cold & Flu,Tablet,"Pharmaceutical box of ibuprofen and pseudoephedrine cold relief tablets, white and red packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Bristaflam,Aceclofenac,Analgesic / Anti-rheumatic,Tablet,"Box of aceclofenac anti-inflammatory and anti-rheumatic tablets, white and orange pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Bilichol,Borneol + Camphene + Cineol + Menthol + Menthone + Pinene,Cholelithiasis / Biliary,Capsule,"Pharmaceutical box of biliary and gallbladder support capsules with herbal essential oils, white and green packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Biomox,Amoxicillin,Antibiotic,Capsule,"Box of amoxicillin antibiotic capsules, white and red pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Bepra,Rabeprazole,Antacid / Hyperacidity,Tablet,"Pharmaceutical box of rabeprazole gastro-resistant tablets, white and purple packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Cymbatex,Duloxetine,Antidepressant,Capsule,"Box of duloxetine antidepressant capsules, white and green pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Corasore,Heptaminol,Orthostatic Hypotension,Tablet / Ampoule,"Pharmaceutical box of heptaminol orthostatic hypotension treatment tablets and ampoules, white and blue packaging, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Clomid,Clomiphene,Ovulation Enhancer,Tablet,"Box of clomiphene ovulation induction tablets, white and pink pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Colmediten / Colchicine,Colchicine,Anti-gout,Tablet,"Pharmaceutical box of colchicine anti-gout tablets, white and orange packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Calcimate,Calcium Carbonate,Calcium Supplement,Tablet,"Bottle of calcium carbonate supplement tablets, white and green label, professional supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Cidamex,Acetazolamide,Diuretic,Tablet,"Pharmaceutical box of acetazolamide diuretic tablets, white and red packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Cyncholine Plus,Artichoke + Silymarin,Liver Support,Tablet,"Bottle of artichoke and silymarin liver support tablets, green and white label, herbal supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Coenzyme (Q10),Coenzyme Q10,Antioxidant,Capsule,"Bottle of coenzyme Q10 antioxidant supplement capsules, red and white label, professional supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Cidolut Nor,Norethisterone,Synthetic Estrogen / Cycle Regulation,Tablet,"Pharmaceutical box of norethisterone hormone tablets, white and pink packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Cidophage / Glucophage / Glucolight / Maxophage / Mepaphage,Metformin,Antidiabetic,Tablet,"Assortment of metformin antidiabetic tablets boxes, white and blue pharmaceutical packaging, blister packs, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Cidoviron,Mesterolone,Synthetic Androgen,Tablet,"Pharmaceutical box of mesterolone androgen tablets, white and blue packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Caredalud SR,Tizanidine,Muscle Relaxant,Tablet,"Box of tizanidine sustained release muscle relaxant tablets, white and orange pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Cipramax,Citalopram,Antidepressant,Tablet,"Pharmaceutical box of citalopram antidepressant tablets, white and green packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Colovatil,Sulpiride + Mebeverine,Antiemetic / Antispasmodic,Capsule,"Box of sulpiride and mebeverine antiemetic and antispasmodic capsules, white and orange pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Capotril / Capoten,Captopril,Antihypertensive,Tablet,"Pharmaceutical box of captopril ACE inhibitor tablets, white and green packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Clozapex,Clozapine,Antipsychotic,Tablet,"Box of clozapine antipsychotic tablets, white and yellow pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Cetrak,Cetirizine,Antihistamine,Tablet,"Pharmaceutical box of cetirizine antihistamine tablets, white and blue packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Co-dilatrol,Carvedilol + Hydrochlorothiazide,Antihypertensive,Tablet,"Box of carvedilol and hydrochlorothiazide combination tablets, white and blue pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Cardio-mep / Cordarone,Amiodarone,Antiarrhythmic,Tablet,"Pharmaceutical box of amiodarone antiarrhythmic tablets, white and red packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Cardura,Doxazosin,Antihypertensive / Prostate,Tablet,"Box of doxazosin antihypertensive and prostate treatment tablets, white and blue pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Celebrex / Celecox / Arthrex,Celecoxib,Analgesic / Anti-inflammatory,Capsule,"Boxes of celecoxib anti-inflammatory capsules, white and blue pharmaceutical packaging, blister packs, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Combipres,Enalapril + Hydrochlorothiazide,Antihypertensive,Tablet,"Pharmaceutical box of enalapril and hydrochlorothiazide combination tablets, white and green packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Coloverin / Coloverin SR / Colospasmin / Colospasmin Forte / Duspatalin / Colona / Mepacolon / Spasmotalin Forte,Mebeverine,Antispasmodic,Capsule / Tablet,"Assortment of mebeverine antispasmodic capsules and tablets for colon spasm, white and orange pharmaceutical packaging, blister packs, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Coloverin A,Mebeverine + Chlordiazepoxide,Spastic Colon / Anxiolytic,Capsule,"Pharmaceutical box of mebeverine and chlordiazepoxide capsules for irritable colon with anxiety, white and green packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Coloverin D,Mebeverine + Dimethicone,Antispasmodic / Antiflatulence,Capsule,"Box of mebeverine and dimethicone antispasmodic and antiflatulence capsules, white and orange pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Candalkan / Candesar,Candesartan,Antihypertensive,Tablet,"Pharmaceutical box of candesartan antihypertensive tablets, white and orange packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Caldin C,Minerals and Vitamins,Multivitamin Supplement,Tablet,"Bottle of multivitamins and minerals supplement tablets, white and orange label, professional supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Calcimax Plus,Calcium + Vitamin D3,Calcium Supplement / Bone Health,Tablet,"Bottle of calcium and vitamin D3 bone health supplement tablets, white and green label, professional supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Cipazole / Fladazole / Ciprodiazole,Secnidazole / Ciprofloxacin + Metronidazole,Antiprotozoal / Antibiotic,Tablet,"Pharmaceutical boxes of antiprotozoal and antibiotic combination tablets, white and yellow packaging, blister packs, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Cetafen,Ibuprofen + Paracetamol,Analgesic / Antipyretic,Tablet,"Box of ibuprofen and paracetamol combination pain relief tablets, white and red pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Clopex / Clatex / Plavix / Myogrel,Clopidogrel,Antiplatelet,Tablet,"Boxes of clopidogrel antiplatelet tablets, white and red pharmaceutical packaging, blister packs, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Covaprendo,Amlodipine + Perindopril,Antihypertensive,Tablet,"Pharmaceutical box of amlodipine and perindopril combination antihypertensive tablets, white and blue packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Centravita Osteo,Calcium and Vitamins,Bone Care / Supplement,Tablet,"Bottle of calcium and vitamins bone health supplement tablets, white and purple label, professional supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Convagran,Zonisamide,Anticonvulsant,Capsule,"Pharmaceutical box of zonisamide anticonvulsant capsules, white and red packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Cal-mag,Calcium and Magnesium,Supplement,Tablet,"Bottle of calcium and magnesium supplement tablets, white and blue label, professional supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Cal-preg,Calcium,Pregnancy Supplement,Tablet,"Bottle of calcium supplement for pregnancy tablets, white and pink label, professional supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Cinnarizine / Stugron,Cinnarizine,Antivertigo,Tablet,"Pharmaceutical box of cinnarizine antivertigo and motion sickness tablets, white and blue packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Cervitam,Piroxicam + Vincamine,Cerebral Circulatory Enhancer,Capsule,"Box of piroxicam and vincamine cerebral circulation capsules, white and red pharmaceutical packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Carbapex,Carbamazepine,Anticonvulsant / Antineuralgic,Tablet,"Pharmaceutical box of carbamazepine anticonvulsant and neuralgia tablets, white and orange packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Cerebroforte / Cerebrocetam,Piracetam,Cerebral Circulatory / Nootropic,Tablet / Capsule,"Boxes of piracetam nootropic and cerebral circulation tablets and capsules, white and blue pharmaceutical packaging, blister packs, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Ciprocin / Cipromax / Ciproquin / Ciproxil / Cipro / Ciprobay / Ciprofar / Ciprofloxacin / Rancif / Serviflox / Ultracipro,Ciprofloxacin,Antibiotic (Broad spectrum),Tablet,"Assortment of ciprofloxacin broad spectrum antibiotic tablets boxes, white and red pharmaceutical packaging, blister packs, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic, 8K"
Cevamol,Paracetamol + Vitamin C,Analgesic / Antipyretic (Effervescent),Effervescent Tablet,"Box of paracetamol and vitamin C effervescent tablets, white and orange pharmaceutical packaging, tube with effervescent tablets, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Crestor / Crestolip / Cholerose / Justechol / Novistoric / Rosuvast,Rosuvastatin,Antihyperlipidemic,Tablet,"Boxes of rosuvastatin cholesterol-lowering tablets, white and red pharmaceutical packaging, blister packs, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic, 8K"
Cologest,Anise and Peppermint Oil,GIT Disturbance / Carminative,Capsule,"Pharmaceutical box of anise and peppermint oil digestive capsules, white and green packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Chito / Chromax / Chromium,Chitosan / Chromium,Weight Loss / Supplement,Capsule,"Bottles of chitosan and chromium weight loss supplement capsules, white and orange labels, professional supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Clindam,Clindamycin,Antibiotic,Capsule,"Pharmaceutical box of clindamycin antibiotic capsules, white and red packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Calcinex Plus,Calcium + Vitamin D3,Supplement,Tablet,"Bottle of calcium and vitamin D3 supplement tablets, white and green label, professional supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Chitocal,Chitosan + Chromium + Vitamins,Weight Loss,Capsule,"Bottle of chitosan and chromium weight loss formula capsules, white and orange label, professional supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Co-irbesartan / Irbezide / Irbedrin-diu,Irbesartan + Hydrochlorothiazide,Antihypertensive,Tablet,"Boxes of irbesartan and hydrochlorothiazide combination antihypertensive tablets, white and green pharmaceutical packaging, blister packs, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Cephoxin / Ceprex,Cephalexin,Antibiotic,Capsule,"Pharmaceutical box of cephalexin antibiotic capsules, white and red packaging, blister pack, professional product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Calcitron,Minerals and Vitamins,Multivitamin Supplement,Tablet,"Bottle of multivitamins and minerals comprehensive supplement tablets, white and orange label, professional supplement product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Actrapid / Humulin R / Novorapid,Regular Insulin / Insulin Aspart,Insulin (Short Acting / Rapid Acting),Injection (Vial / Pen),"Insulin vials and prefilled pens for rapid-acting and short-acting insulin, white and blue pharmaceutical packaging, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic, 8K"
Apidra (Glulisine) / Humalog (Lispro),Insulin Glulisine / Insulin Lispro,Insulin (Ultra Rapid Acting),Injection (Pen),"Ultra-rapid acting insulin prefilled pens, white and orange pharmaceutical packaging, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Insulatard / Humulin N,Isophane Insulin (NPH),Insulin (Intermediate Acting),Injection (Vial / Pen),"Intermediate-acting insulin vials and prefilled pens, white and green pharmaceutical packaging, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Avastin,Bevacizumab,"Cancer (Brain, Colon, Rectal)",Injection (Vial),"Pharmaceutical vial of bevacizumab cancer treatment injection, white and red label, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Bleocin,Bleomycin,Cancer (Bladder),Injection (Vial),"Pharmaceutical vial of bleomycin chemotherapy injection, white and blue label, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Decapeptyl 0.1 / CR,Triptorelin,Cancer (Breast) / GnRH Agonist,Injection (Vial),"Pharmaceutical box and vial of triptorelin GnRH agonist injection, white and green packaging, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Mitomycin,Mitomycin,Cancer (Solid Tumors),Injection (Vial),"Pharmaceutical vial of mitomycin chemotherapy injection, white and purple label, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Gemzar,Gemcitabine,Cancer (Solid Tumors),Injection (Vial),"Pharmaceutical vial of gemcitabine chemotherapy injection, white and red label, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Mabthera,Rituximab,Cancer (Non-Hodgkin Lymphoma),Injection (Vial),"Pharmaceutical vial of rituximab monoclonal antibody injection, white and purple label, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Carboplatin,Carboplatin,"Cancer (Ovary, Cervix)",Injection (Vial),"Pharmaceutical vial of carboplatin chemotherapy injection, white and silver label, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Leukeran,Chlorambucil,"Cancer (Lymphoma, Leukemia)",Tablet,"Pharmaceutical box of chlorambucil chemotherapy tablets, white and orange packaging, blister pack, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
"Cisplatin (10, 50, 100)",Cisplatin,Cancer (Gonadal),Injection (Vial),"Pharmaceutical vials of cisplatin chemotherapy injection in multiple concentrations, white and gold label, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
"Oxaliplatin (50, 100)",Oxaliplatin,Cancer (Colorectal),Injection (Vial),"Pharmaceutical vials of oxaliplatin chemotherapy injection, white and silver label, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
"Paclitaxel / Taxol (30, 50, 100, 150, 300)",Paclitaxel,"Cancer (Ovary, Breast)",Injection (Vial),"Pharmaceutical vials of paclitaxel chemotherapy injection in various concentrations, white and red label, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
"Navelbine (20, 30, 50)",Vinorelbine,"Cancer (Testicular, Lymphoma)",Injection (Vial),"Pharmaceutical vials of vinorelbine chemotherapy injection, white and orange label, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Zoladex,Goserelin,Cancer (Breast),Implant (Prefilled Syringe),"Pharmaceutical box of goserelin implant prefilled syringe, white and orange packaging, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Neupogen / Filgrastim / Zarxio,Filgrastim (G-CSF),Neutropenia Treatment,Injection (Vial / Syringe),"Pharmaceutical vials and prefilled syringes of filgrastim G-CSF injection for neutropenia, white and blue label, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
G-setron / Emex / Kytril / Zofran,Ondansetron,Antiemetic (Chemotherapy-induced),Tablet / Injection,"Boxes and vials of ondansetron antiemetic tablets and injection, white and red pharmaceutical packaging, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Aclasta / Zometa,Zoledronic Acid,Hypercalcemia / Osteoporosis,Injection (Vial),"Pharmaceutical vial of zoledronic acid infusion for hypercalcemia and osteoporosis, white and blue label, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Caverject,Alprostadil,Erectile Dysfunction,Injection (Intrapenile),"Pharmaceutical box of alprostadil intracavernosal injection for erectile dysfunction, white and blue packaging, vial and syringe, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Clopixol,Zuclopenthixol,Antipsychotic (Injection),Injection (Ampoule),"Pharmaceutical ampoules of zuclopenthixol antipsychotic injection, white and green packaging, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Diprivan,Propofol,IV Anesthetic,Injection (Ampoule / Vial),"Pharmaceutical ampoules of propofol intravenous anesthetic, white and silver label, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Dormicum,Midazolam,Sedative / Antipsychotic (Injection),Injection (Ampoule),"Pharmaceutical ampoules of midazolam sedative injection, white and blue packaging, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
"Syntocinon (5, 10 IU)",Oxytocin,Labor Induction,Injection (Ampoule),"Pharmaceutical ampoules of oxytocin labor induction hormone injection, white and red label, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Dobutamin,Dobutamine,Cardiac Arrest / Inotropic,Injection (Vial),"Pharmaceutical vial of dobutamine cardiac stimulant injection, white and red label, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Flumazenil,Flumazenil,Antidote (Benzodiazepine Overdose),Injection (Ampoule),"Pharmaceutical ampoules of flumazenil benzodiazepine antidote injection, white and red label, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Methergine,Ergometrine,Postpartum Hemorrhage,Injection (Ampoule) / Tablet,"Pharmaceutical ampoules and tablets of ergometrine for postpartum hemorrhage, white and red packaging, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
"Respirdal Consta (25, 37.5)",Risperidone (Long Acting),Antipsychotic (Depot Injection),Injection (Vial),"Pharmaceutical vials of risperidone long-acting depot antipsychotic injection, white and purple packaging, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Synacthen Depot,Tetracosactide,Diagnostic (Adrenal Insufficiency),Injection (Ampoule),"Pharmaceutical ampoules of tetracosactide synthetic ACTH for adrenal function test, white and green label, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
Herbi / Vaxigrip,Influenza Vaccine,Vaccine (Seasonal Flu),Injection (Prefilled Syringe),"Prefilled syringes of seasonal influenza vaccine, white and blue pharmaceutical packaging, professional medical product photography, clean white background, clinical lighting, sharp focus, photorealistic"
